Collar_id,NST_Timeset,Interval,NST_date,NST Time,Latitude,Longitude,Step_length,movement
Kano: 6225,04/13/2024 04:32,0.985555555,04/13/2024,04:32:32,25.821103,77.172493,55.35004691,56.16126519
Kano: 6225,04/13/2024 05:32,0.998055556,04/13/2024,05:32:25,25.820767,77.172085,467.4685794,468.379317
Kano: 6225,04/13/2024 06:34,1.031388889,04/13/2024,06:34:18,25.824043,77.169158,60.22505549,58.39218953
Kano: 6225,04/13/2024 07:34,1.000555555,04/13/2024,07:34:20,25.824488,77.168815,8.610375082,8.605594197
Kano: 6225,04/13/2024 08:33,0.993611111,04/13/2024,08:33:57,25.82443,77.168872,6.753096819,6.796519024
Kano: 6225,04/13/2024 09:35,1.02,04/13/2024,09:35:09,25.824488,77.168852,0.21228178,0.208119392
Kano: 6225,04/13/2024 16:37,7.039444444,04/13/2024,16:37:31,25.824487,77.16885,440.2730253,62.54371759
Kano: 6225,04/13/2024 19:37,2.991666667,04/13/2024,19:37:01,25.821728,77.172005,56.93411579,19.03090221
Kano: 6225,04/13/2024 20:36,0.998055556,04/13/2024,20:36:54,25.821347,77.171625,56.1280412,56.23739169
Kano: 6225,04/13/2024 21:37,1.006944444,04/13/2024,21:37:19,25.821517,77.171097,203.0396823,201.6394086
Kano: 6225,04/13/2024 22:38,1.014166667,04/13/2024,22:38:10,25.821918,77.169118,5.058367914,4.987708707
Kano: 6225,04/13/2024 23:38,1.002777778,04/13/2024,23:38:20,25.821948,77.16908,12.68905349,12.65390376
Kano: 6225,04/14/2024 00:38,0.996944445,04/14/2024,00:38:09,25.821865,77.169167,232.8257941,233.5393866
Kano: 6225,04/14/2024 01:38,1.008611111,04/14/2024,01:38:40,25.821513,77.17146,96.91145691,96.08406633
Kano: 6225,04/14/2024 02:39,1.006111111,04/14/2024,02:39:02,25.820993,77.170683,11.08753243,11.02018684
Kano: 6225,04/14/2024 03:40,1.026388889,04/14/2024,03:40:37,25.820928,77.170767,382.2181165,372.3911284
Kano: 6225,04/14/2024 04:39,0.986944444,04/14/2024,04:39:50,25.823438,77.168158,240.4602405,243.6411105
Kano: 6225,04/14/2024 05:39,0.996944444,04/14/2024,05:39:39,25.824472,77.166048,814.1482951,816.643595
Kano: 6225,04/14/2024 06:40,1.008611111,04/14/2024,06:40:10,25.83043,77.16132,33.58147464,33.29476968
Kano: 6225,04/14/2024 18:45,12.08722222,04/14/2024,18:45:24,25.830732,77.161322,1483.840724,122.7611023
Kano: 6225,04/14/2024 19:44,0.982222222,04/14/2024,19:44:20,25.828433,77.146718,856.9004149,872.4099246
Kano: 6225,04/14/2024 20:44,1.001944444,04/14/2024,20:44:27,25.822708,77.140987,6.881990646,6.868634967
Kano: 6225,04/14/2024 21:45,1.009722222,04/14/2024,21:45:02,25.822662,77.141033,257.7707853,255.2888108
Kano: 6225,04/14/2024 22:45,1.005,04/14/2024,22:45:20,25.8227,77.138458,1390.423268,1383.505739
Kano: 6225,04/14/2024 23:45,1.003333333,04/14/2024,23:45:32,25.82512,77.152087,1681.51533,1675.9289
Kano: 6225,04/15/2024 00:45,0.998333333,04/15/2024,00:45:26,25.818298,77.16708,728.9235982,730.1404991
Kano: 6225,04/15/2024 01:46,1.016666667,04/15/2024,01:46:26,25.82457,77.169198,810.4069684,797.1216083
Kano: 6225,04/15/2024 02:46,1.008333333,04/15/2024,02:46:56,25.827968,77.162035,28.40453962,28.16979135
Kano: 6225,04/15/2024 03:47,1.016388889,04/15/2024,03:47:55,25.827772,77.162217,6.005736309,5.908896069
Kano: 6225,04/15/2024 04:11,0.385555556,04/15/2024,04:11:03,25.827772,77.162157,37.13632967,96.31901066
Kano: 6225,04/15/2024 05:12,1.023055555,04/15/2024,05:12:26,25.827448,77.162067,79.45829233,77.66762216
Kano: 6225,04/15/2024 06:14,1.03,04/15/2024,06:14:14,25.82813,77.16183,293.2369254,284.6960441
Kano: 6225,04/15/2024 18:18,12.06305556,04/15/2024,18:18:01,25.83073,77.16134,5.813575964,0.481932288
Kano: 6225,04/15/2024 18:19,0.026944444,04/15/2024,18:19:38,25.830778,77.161317,141.4300493,5248.950282
Kano: 6225,04/15/2024 19:22,1.046666667,04/15/2024,19:22:26,25.831142,77.159963,465.5817693,444.8233465
Kano: 6225,04/15/2024 20:30,1.131666667,04/15/2024,20:30:20,25.832022,77.155415,452.5802639,399.9236499
Kano: 6225,04/15/2024 21:30,1.005833333,04/15/2024,21:30:41,25.834362,77.151715,907.960312,902.6945937
Kano: 6225,04/15/2024 22:30,0.999166667,04/15/2024,22:30:38,25.833233,77.1607,569.848286,570.3235556
Kano: 6225,04/15/2024 23:30,0.995,04/15/2024,23:30:20,25.828208,77.161818,5.306195298,5.332859596
Kano: 6225,04/16/2024 00:30,1.005555556,04/16/2024,00:30:40,25.828165,77.161795,18.55226166,18.44976298
Kano: 6225,04/16/2024 01:30,1.004444444,04/16/2024,01:30:56,25.82822,77.16197,49.52384238,49.30471034
Kano: 6225,04/16/2024 02:30,0.985,04/16/2024,02:30:02,25.827818,77.162183,58.41522479,59.30479673
Kano: 6225,04/16/2024 03:30,1.009166667,04/16/2024,03:30:35,25.828267,77.16188,13.61419838,13.49053514
Kano: 6225,04/16/2024 04:30,0.999166667,04/16/2024,04:30:32,25.828148,77.161912,6.5195049,6.524942352
Kano: 6225,04/16/2024 05:30,0.991666667,04/16/2024,05:30:02,25.82813,77.16185,50.72983816,51.15613932
Kano: 6225,04/16/2024 06:30,1.014722222,04/16/2024,06:30:55,25.82774,77.162113,221.5783347,218.3635382
Kano: 6225,04/16/2024 07:36,1.091111111,04/16/2024,07:36:23,25.827043,77.164187,524.0123512,480.255719
Kano: 6225,04/16/2024 16:30,8.902222222,04/16/2024,16:30:31,25.830768,77.16098,28.14107069,3.16112876
Kano: 6225,04/16/2024 17:30,1.003333333,04/16/2024,17:30:43,25.830515,77.160973,17.02256341,16.96601004
Kano: 6225,04/16/2024 18:30,0.988611111,04/16/2024,18:30:02,25.830592,77.16112,472.4046249,477.8467686
Kano: 6225,04/16/2024 19:30,1,04/16/2024,19:30:02,25.829158,77.156677,1816.735005,1816.735006
Kano: 6225,04/16/2024 20:30,1.001666667,04/16/2024,20:30:08,25.813507,77.151468,1640.087185,1637.358255
Kano: 6225,04/16/2024 23:36,3.111388889,04/16/2024,23:36:49,25.798795,77.152638,2242.216033,720.6479529
Kano: 6225,04/17/2024 00:30,0.8975,04/17/2024,00:30:40,25.818933,77.151485,1791.898733,1996.544549
Kano: 6225,04/17/2024 01:30,0.989444444,04/17/2024,01:30:02,25.816725,77.169218,729.5311856,737.3139439
Kano: 6225,04/17/2024 02:30,0.999722222,04/17/2024,02:30:01,25.818443,77.176252,4.018803024,4.019919668
Kano: 6225,04/17/2024 03:30,1.000277778,04/17/2024,03:30:02,25.81844,77.176292,353.4320528,353.3339045
Kano: 6225,04/17/2024 04:30,1.008333333,04/17/2024,04:30:32,25.821507,77.175365,1161.1227,1151.526644
Kano: 6225,04/17/2024 05:30,0.993888889,04/17/2024,05:30:10,25.82596,77.164872,389.1885943,391.5815929
Kano: 6225,04/17/2024 06:30,1.006111111,04/17/2024,06:30:32,25.828217,77.1619,1.638837336,1.628883051
Kano: 6225,04/17/2024 07:30,1.002222222,04/17/2024,07:30:40,25.828203,77.161905,276.351418,275.7386655
Kano: 6225,04/17/2024 08:30,0.993888889,04/17/2024,08:30:18,25.830577,77.161088,14.12144607,14.20827441
Kano: 6225,04/17/2024 09:30,1.004444444,04/17/2024,09:30:34,25.83047,77.161012,9.696421972,9.65351745
Kano: 6225,04/17/2024 15:36,6.100555555,04/17/2024,15:36:36,25.830543,77.161065,1.515995137,0.248501161
Kano: 6225,04/17/2024 16:30,0.898055556,04/17/2024,16:30:29,25.83055,77.161078,11.27613959,12.55617152
Kano: 6225,04/17/2024 17:30,1.007777778,04/17/2024,17:30:57,25.830462,77.161022,17.07938517,16.94757073
Kano: 6225,04/17/2024 18:30,0.988611111,04/17/2024,18:30:16,25.830608,77.161075,1345.925415,1361.430596
Kano: 6225,04/17/2024 19:30,1.004444444,04/17/2024,19:30:32,25.837222,77.149812,1710.392558,1702.824449
Kano: 6225,04/17/2024 20:30,1.002222222,04/17/2024,20:30:40,25.82351,77.142068,2490.63022,2485.107758
Kano: 6225,04/17/2024 21:30,0.999166667,04/17/2024,21:30:37,25.812807,77.12021,209.8435619,210.0185773
Kano: 6225,04/17/2024 22:30,0.998611111,04/17/2024,22:30:32,25.81092,77.120238,460.8784107,461.5194099
Kano: 6225,04/17/2024 23:30,0.999722222,04/17/2024,23:30:31,25.813013,77.124212,439.0512438,439.1732363
Kano: 6225,04/18/2024 00:30,1.001944444,04/18/2024,00:30:38,25.816397,77.126472,2350.342037,2345.780797
Kano: 6225,04/18/2024 01:30,0.992222222,04/18/2024,01:30:10,25.825263,77.147788,1115.928473,1124.675953
Kano: 6225,04/18/2024 02:30,1.006111111,04/18/2024,02:30:32,25.828892,77.158183,1507.372061,1498.216295
